"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0C710","2019-09-10 00:00:00","143.000","139.000","0.300","23.900","0.920","991.900","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","20.700",""
"C0D360","2019-09-10 00:00:00","523.000","0.000","0.000","22.600","0.860","949.600","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","18.500",""
"C0C680","2019-09-10 00:00:00","228.000","111.000","2.100","26.300","0.730","980.700","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","23.000",""
"C0X140","2019-09-10 00:00:00","17.000","0.000","0.000","28.400","0.880","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.000",""
"C0V710","2019-09-10 00:00:00","34.000","80.000","1.500","29.100","0.780","1004.200","-99.000","10.500","-99.000","-99.000","-99.000","32.800","","26.700",""
"C0S890","2019-09-10 00:00:00","238.000","0.000","0.000","24.100","0.980","985.900","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","22.600",""
"C0T820","2019-09-10 00:00:00","550.000","0.000","0.000","21.400","0.920","952.900","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","17.900",""
"C0F9I0","2019-09-10 00:00:00","194.000","192.000","1.000","27.400","0.840","986.200","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","24.600",""
"C0C650","2019-09-10 00:00:00","208.000","0.000","0.000","24.800","0.750","984.400","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","21.500",""
"C0R600","2019-09-10 00:00:00","766.000","275.000","0.900","23.100","0.970","924.500","-99.000","0.000","-99.000","-99.000","-99.000","26.300","","23.100",""
"C0Z320","2019-09-10 00:00:00","646.000","249.000","1.100","20.500","0.980","939.100","-99.000","0.500","-99.000","-99.000","-99.000","30.200","","17.900",""
"C0V210","2019-09-10 00:00:00","734.000","0.000","0.000","23.300","0.940","929.500","-99.000","0.000","-99.000","-99.000","-99.000","29.000","","17.900",""
"C0K240","2019-09-10 00:00:00","1132.000","354.000","1.100","20.900","0.990","889.700","-99.000","0.000","-99.000","-99.000","-99.000","27.500","","18.200",""
"C0M520","2019-09-10 00:00:00","15.000","174.000","1.000","26.700","0.890","1006.200","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","25.100",""
"C0A530","2019-09-10 00:00:00","300.000","0.000","0.000","25.300","0.800","975.100","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","20.400",""
"C0E820","2019-09-10 00:00:00","220.000","175.000","0.900","22.900","0.840","983.800","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","20.600",""
"C0K450","2019-09-10 00:00:00","35.000","199.000","1.900","27.600","0.900","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","26.300",""
"C0G760","2019-09-10 00:00:00","53.000","179.000","0.300","27.400","0.990","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","25.700",""
"CM0120","2019-09-10 00:00:00","4.000","274.000","1.600","29.200","0.780","1007.800","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","26.900",""
"C0Z290","2019-09-10 00:00:00","946.000","0.000","0.000","20.700","0.800","907.400","-99.000","0.000","-99.000","-99.000","-99.000","26.200","","18.700",""
"C0V680","2019-09-10 00:00:00","40.000","0.000","0.000","27.600","0.860","1003.700","-99.000","8.500","-99.000","-99.000","-99.000","32.300","","26.100",""
"C0F9U0","2019-09-10 00:00:00","74.000","133.000","0.500","29.200","0.790","999.800","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","26.900",""
"C0AI10","2019-09-10 00:00:00","76.000","202.000","1.900","25.300","0.890","999.200","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","22.300",""
"C0V530","2019-09-10 00:00:00","34.000","58.000","0.500","26.700","1.000","1004.100","-99.000","2.500","-99.000","-99.000","-99.000","32.900","","25.400",""
"C0R550","2019-09-10 00:00:00","38.000","9.000","2.300","26.700","0.960","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","24.000",""
"C0F9L0","2019-09-10 00:00:00","253.000","40.000","0.500","26.500","0.900","979.700","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","24.400",""
"C0A950","2019-09-10 00:00:00","60.000","158.000","4.800","27.300","0.800","1001.700","-99.000","0.000","-99.000","-99.000","-99.000","29.600","","24.900",""
"C0R160","2019-09-10 00:00:00","45.000","10.000","1.200","26.800","0.990","1002.500","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","24.300",""
"CM0010","2019-09-10 00:00:00","68.000","174.000","0.300","26.600","-99.000","1000.900","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","22.500",""
"C0K500","2019-09-10 00:00:00","12.000","198.000","0.800","27.800","0.900","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","26.000",""
"C0X260","2019-09-10 00:00:00","39.000","188.000","1.400","26.700","0.900","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","25.500",""
"C0ACA0","2019-09-10 00:00:00","25.000","83.000","0.900","28.700","0.630","1004.000","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.500",""
"C0X180","2019-09-10 00:00:00","62.000","0.000","0.200","25.500","0.990","1000.900","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","24.300",""
